movieid;country;addition;time
1729240;N;N;116
1729260;N;N;102
1729569;N;N;90
1729579;N;N;88
1729818;N;N;109
1730566;N;N;108
1730640;N;N;148
1730836;N;N;122
1730975;N;N;93
1731412;N;N;101
1731505;N;N;90
1731582;N;N;108
1732344;N;N;102
1732496;N;N;83
1732658;N;N;150
1732658;USA;(director's cut);156
1732858;N;N;114
1733111;N;N;110
1733479;N;N;153
1733479;N;(Redux version);202
1733566;N;N;140
1733566;N;(Anniversary Edition IMAX version);256
1733566;N;(Universal's 100th Anniversary Blu-Ray Edition);280
1734162;N;N;89
1734321;N;N;111
1734321;Argentina;N;112
1734369;N;N;105
1734803;N;N;103
1735791;N;N;106
1736211;N;N;117
1736268;N;N;151
1736268;USA;(director's cut);153
1736362;N;N;88
1736362;Spain;(DVD edition);83
1736592;N;N;81
1736592;N;(director's cut);96
1736592;UK;(approx);86
1736794;N;N;120
1737340;N;N;118
1737713;Argentina;N;97
1737713;France;N;98
1737766;N;N;97
1738481;N;N;139
1739234;N;N;98
1740732;N;N;105
1740732;N;(DVD);88
1740752;N;N;132
1740811;N;N;91
1741487;N;N;78
1741682;N;N;128
1742509;N;N;104
1743028;N;N;83
1743028;N;(director's cut);90
1743689;N;N;96
1743852;N;N;113
1744178;N;N;94
1744391;N;N;143
1744809;N;N;94
1744809;Turkey;(TV version);68
1744809;USA;N;89
1744811;N;N;95
1745373;UK;N;15
1745406;N;N;103
1745530;N;N;91
1746382;N;N;121
1746829;N;N;145
1747382;N;N;105
1747382;USA;N;75
1747494;N;N;91
1747494;USA;(Encore print);92
1747545;N;N;92
1747649;N;N;103
1747899;N;N;171
1748196;N;N;89
1748219;N;N;97
1748315;N;N;77
1748315;USA;(re-release);73
1748317;N;N;106
1748754;N;N;97
1748996;N;N;95
1748996;USA;(TV version);51
1749026;N;N;109
1749222;N;N;89
1749247;N;N;105
1749683;N;N;96
1749731;N;N;116
1749735;N;N;108
1749737;N;N;118
1749806;N;N;100
1749891;N;N;137
1750364;N;N;118
1750424;N;N;108
1750510;N;N;99
1750660;N;(R-rated version);91
1750660;N;N;96
1750728;N;N;80
1750816;N;N;91
1750816;Australia;(1989 video release);86
1750816;Belgium;(DVD version);98
1751059;N;N;85
1751071;N;N;94
1751872;N;N;119
1753266;USA;N;78
1753348;N;N;70
1753348;West Germany;N;65
1753400;N;N;135
1753578;N;N;82
1753695;N;N;109
1753837;N;N;119
1753860;N;N;110
1754754;N;N;96
1754799;N;N;98
1754799;USA;(unrated version);100
1754884;N;N;98
1755112;N;N;101
1755524;N;N;106
1755813;N;N;89
1756051;N;N;76
1756391;N;N;184
1756768;N;N;127
1756768;USA;(unrated version);128
1756902;N;N;108
1756980;N;N;97
1757342;N;N;125
1757347;N;N;126
1757367;N;N;121
1757378;N;N;126
1757423;N;N;76
1757465;N;N;90
1757485;N;N;91
1757698;N;N;93
1757698;UK;N;86
1757698;USA;(extended version);96
1757893;N;N;118
1757893;South Korea;N;95
1757893;USA;(video version);119
1758003;N;N;77
1758003;Spain;N;61
1758767;N;N;101
1758767;Germany;(TV);94
1758856;N;N;85
1758856;Canada;(DVD version);85
1759189;N;N;89
1759448;N;N;112
1759573;N;N;112
1759654;N;N;107
1759685;N;N;90
1759851;N;N;84
1759851;N;(special edition);91
1759983;N;N;81
1760306;N;N;87
1760386;N;N;117
1760386;N;(re-release) (1980);99
1760386;Germany;N;89
1760386;USA;(restored version) (1996);139
1760449;N;N;96
1760586;Netherlands;N;93
1760586;USA;N;97
1760752;N;N;92
1760876;N;N;105
1760927;N;N;108
1760978;N;N;113
1762161;N;N;122
1762174;N;N;112
1762229;N;N;130
1762644;N;N;103
1762654;N;N;106
1762853;N;N;101
1763019;N;N;96
1763083;N;N;172
1763465;N;N;212
1763465;N;(DVD edition);214
1763465;N;(2005 DVD);222
1763465;Sweden;(1970);219
1763465;Sweden;(1962);224
1763465;UK;(1993 re-release);222
1763653;N;N;95
1763877;N;N;86
1763883;N;N;88
1763910;N;N;98
1763974;N;N;105
1764861;N;N;93
1765082;N;N;92
1765108;N;N;90
1765164;N;N;90
1765347;N;N;90
1765652;N;N;127
1765652;Argentina;N;126
1765787;N;N;95
1765789;N;N;85
1765811;N;N;97
1765827;N;N;101
1765827;USA;(unrated version);102
1766407;N;N;104
1766427;N;N;88
1766668;N;N;89
1766849;N;N;100
1766849;Turkey;(TV version);93
1767110;N;N;102
1767110;USA;(director's cut);108
1767151;N;N;114
1767537;N;N;101
1768211;N;N;91
1768211;Spain;N;96
1768389;N;N;132
1768698;N;N;104
1768698;N;(extended edition);130
1769145;N;N;90
1769408;N;N;93
1769516;N;N;73
1769766;N;N;98
1769840;N;N;107
1770285;N;N;99
1770807;N;N;99
1771528;N;N;89
1771672;USA;N;92
1771673;N;N;92
1771673;UK;(video);89
1772092;N;N;88
1772092;Argentina;N;95
1772092;Germany;N;91
1772497;N;N;105
1772500;N;N;110
1772651;N;N;120
1772934;N;(director's cut);280
1772934;Argentina;N;179
1772934;Germany;N;179
1772934;Spain;N;179
1772934;Sweden;N;158
1772934;USA;N;158
